highwaympg;citympg;peakrpm;horsepower;compressionratio;stroke;wheelbase;carlength;carwidth;carheight;curbweight;enginesize;boreratio
38;31;5500;68;9.4;3.23;93.7;157.3;63.8;50.6;1989;90;2.97
30;24;5500;102;7.6;3.39;93.7;157.3;63.8;50.6;2191;98;3.03
30;24;5000;88;8.5;3.46;103.3;174.6;64.6;59.8;2535;122;3.34
24;19;5000;145;7;3.9;95.9;173.2;66.3;50.2;2811;156;3.6
54;49;4800;58;9.6;3.41;86.6;144.6;63.9;50.8;1713;92;2.91
38;31;6000;76;9.2;3.41;86.6;144.6;63.9;50.8;1819;92;2.91
42;38;5500;60;10.1;3.07;93.7;150;64;52.6;1837;79;2.91
34;30;6000;76;9.2;3.41;93.7;150;64;52.6;1940;92;2.91
34;30;6000;76;9.2;3.41;93.7;150;64;52.6;1956;92;2.91
34;30;6000;76;9.2;3.41;96.5;163.4;64;54.5;2010;92;2.91
34;30;6000;76;9.2;3.41;96.5;157.1;63.9;58.3;2024;92;2.92
33;27;5800;86;9;3.58;96.5;167.5;65.2;53.3;2236;110;3.15
33;27;5800;86;9;3.58;96.5;167.5;65.2;53.3;2289;110;3.15
33;27;5800;86;9;3.58;96.5;175.4;65.2;54.1;2304;110;3.15
33;27;5800;86;9;3.58;96.5;175.4;62.5;54.1;2372;110;3.15
28;24;5800;101;9;3.58;96.5;175.4;65.2;54.1;2465;110;3.15
31;25;5500;100;9.1;3.58;96.5;169.1;66;51;2293;110;3.15
29;24;4800;78;8.5;3.23;94.3;170.7;61.8;53.5;2337;111;3.31
43;38;5400;70;9.6;3.11;94.5;155.9;63.6;52;1874;90;3.03
43;38;5400;70;9.6;3.11;94.5;155.9;63.6;52;1909;90;3.03
29;24;5000;90;9.2;3.23;96;172.6;65.2;51.4;2734;119;3.43
19;15;4750;176;8.1;4.17;113;199.6;69.6;52.8;4066;258;3.63
19;15;4750;176;8.1;4.17;113;199.6;69.6;52.8;4066;258;3.63
17;13;5000;262;11.5;2.76;102;191.7;70.6;47.8;3950;326;3.54
31;30;5000;68;9;3.15;93.1;159.1;64.2;54.1;1890;91;3.03
38;31;5000;68;9;3.15;93.1;159.1;64.2;54.1;1900;91;3.03
38;31;5000;68;9;3.15;93.1;159.1;64.2;54.1;1905;91;3.03
38;31;5000;68;9;3.15;93.1;166.8;64.2;54.1;1945;91;3.03
38;31;5000;68;9;3.15;93.1;166.8;64.2;54.1;1950;91;3.08
23;17;6000;101;9.4;3.255;95.3;169;65.7;49.6;2380;70;3.33
23;17;6000;101;9.4;3.255;95.3;169;65.7;49.6;2380;70;3.33
23;17;6000;101;9.4;3.255;95.3;169;65.7;49.6;2385;70;3.33
23;16;6000;135;9.4;3.255;95.3;169;65.7;49.6;2500;80;3.33
32;26;4800;84;8.6;3.39;98.8;177.8;66.5;53.7;2385;122;3.39
32;26;4800;84;8.6;3.39;98.8;177.8;66.5;55.5;2410;122;3.39
32;26;4800;84;8.6;3.39;98.8;177.8;66.5;53.7;2385;122;3.39
32;26;4800;84;8.6;3.39;98.8;177.8;66.5;55.5;2410;122;3.39
42;36;4650;64;22.7;3.39;98.8;177.8;66.5;55.5;2443;122;3.39
32;26;4800;84;8.6;3.39;98.8;177.8;66.5;55.5;2425;122;3.39
27;19;5000;120;8;3.16;104.9;175;66.1;54.4;2670;140;3.76
39;31;4200;72;22;3.64;104.9;175;66.1;54.4;2700;134;3.43
25;22;4350;123;21.5;3.64;110;190.9;70.3;56.5;3515;183;3.58
25;22;4350;123;21.5;3.64;110;190.9;70.3;58.7;3750;183;3.58
25;22;4350;123;21.5;3.64;106.7;187.5;70.3;54.9;3495;183;3.58
25;22;4350;123;21.5;3.64;115.6;202.6;71.7;56.3;3770;183;3.58
18;16;4750;155;8.3;3.1;115.6;202.6;71.7;56.5;3740;234;3.46
18;16;4750;155;8.3;3.1;96.6;180.3;70.5;50.8;3685;234;3.46
16;14;4500;184;8;3.35;120.9;208.1;71.7;56.7;3900;308;3.8
16;14;4500;184;8;3.35;112;199.2;72;55.4;3715;304;3.8
24;19;5000;175;8;3.12;102.7;178.4;68;54.8;2910;140;3.78
41;37;5500;68;9.4;3.23;93.7;157.3;64.4;50.8;1918;92;2.97
38;31;5500;68;9.4;3.23;93.7;157.3;64.4;50.8;1944;92;2.97
38;31;5500;68;9.4;3.23;93.7;157.3;64.4;50.8;2004;92;2.97
30;24;5500;102;7.6;3.39;93;157.3;63.8;50.8;2145;98;3.03
30;23;5500;116;7.5;3.46;96.3;173;65.4;49.4;2370;110;3.17
32;25;5000;88;8.5;3.46;96.3;173;65.4;49.4;2328;122;3.35
24;19;5000;145;7;3.86;95.9;173.2;66.3;50.2;2833;156;3.58
24;19;5000;145;7;3.86;95.9;173.2;66.3;50.2;2921;156;3.59
24;19;5000;145;7;3.86;95.9;173.2;66.3;50.2;2926;156;3.59
32;25;5000;88;8.5;3.46;96.3;172.4;65.4;51.6;2365;122;3.35
32;25;5000;88;8.5;3.46;96.3;172.4;65.4;51.6;2405;122;3.35
30;23;5500;116;7.5;3.46;96.3;172.4;65.4;51.6;2403;110;3.17
30;23;5500;116;7.5;3.46;96.3;172.4;65.4;51.6;2403;110;3.17
37;31;5200;69;9.4;3.29;94.5;165.3;63.8;54.5;1889;97;3.15
50;45;4800;55;21.9;3.47;94.5;165.3;63.8;54.5;2017;103;2.99
37;31;5200;69;9.4;3.29;94.5;165.3;63.8;54.5;1918;97;3.15
37;31;5200;69;9.4;3.29;94.5;165.3;63.8;54.5;1938;97;3.15
37;31;5200;69;9.4;3.29;94.5;170.2;63.8;53.5;2024;97;3.15
37;31;5200;69;9.4;3.29;94.5;165.3;63.8;54.5;1951;97;3.15
37;31;5200;69;9.4;3.29;94.5;165.6;63.8;53.3;2028;97;3.15
37;31;5200;69;9.4;3.29;94.5;165.3;63.8;54.5;1971;97;3.15
37;31;5200;69;9.4;3.29;94.5;170.2;63.8;53.5;2037;97;3.15
37;31;5200;69;9.4;3.29;95.1;162.4;63.8;53.3;2008;97;3.15
34;27;5200;97;8.5;3.47;97.2;173.4;65.2;54.7;2324;120;3.33
34;27;5200;97;8.5;3.47;97.2;173.4;65.2;54.7;2302;120;3.33
22;17;5200;152;9;3.27;100.4;181.7;66.5;55.1;3095;181;3.43
22;17;5200;152;9;3.27;100.4;184.6;66.5;56.1;3296;181;3.43
25;19;5200;152;9;3.27;100.4;184.6;66.5;55.1;3060;181;3.43
25;19;5200;160;9;3.27;91.3;170.7;67.9;49.7;3071;181;3.43
23;17;5200;200;7.8;3.27;91.3;170.7;67.9;49.7;3139;181;3.43
25;19;5200;160;9;3.27;99.2;178.5;67.9;49.7;3139;181;3.43
24;19;5000;97;8.4;3.19;107.9;186.7;68.4;56.7;3020;120;3.46
33;28;4150;95;21;3.52;107.9;186.7;68.4;56.7;3197;152;3.7
24;19;5000;97;8.4;3.19;114.2;198.9;68.4;58.7;3230;120;3.46
25;25;4150;95;21;3.52;114.2;198.9;68.4;58.7;3430;152;3.7
24;19;5000;95;8.4;2.19;107.9;186.7;68.4;56.7;3075;120;3.46
33;28;4150;95;21;3.52;107.9;186.7;68.4;56.7;3252;152;3.7
24;19;5000;95;8.4;2.19;114.2;198.9;68.4;56.7;3285;120;3.46
25;25;4150;95;21;3.52;114.2;198.9;68.4;58.7;3485;152;3.7
24;19;5000;97;8.4;3.19;107.9;186.7;68.4;56.7;3075;120;3.46
33;28;4150;95;21;3.52;107.9;186.7;68.4;56.7;3252;152;3.7
24;18;5600;142;7;3.21;108;186.7;68.3;56;3130;134;3.61
41;37;5500;68;9.4;3.23;93.7;157.3;63.8;50.8;1918;90;2.97
30;24;5500;102;7.6;3.39;93.7;157.3;63.8;50.8;2128;98;3.03
38;31;5500;68;9.4;3.23;93.7;157.3;63.8;50.6;1967;90;2.97
38;31;5500;68;9.4;3.23;93.7;167.3;63.8;50.8;1989;90;2.97
38;31;5500;68;9.4;3.23;93.7;167.3;63.8;50.8;2191;98;2.97
30;24;5000;88;8.5;3.46;103.3;174.6;64.6;59.8;2535;122;3.35
24;19;5000;145;7;3.86;95.9;173.2;66.3;50.2;2818;156;3.59
27;19;5500;143;9.5;3.11;94.5;168.9;68.3;50.2;2778;151;3.94
25;17;5900;207;9.5;2.9;89.5;168.9;65;51.6;2756;194;3.74
25;17;5900;207;9.5;2.9;89.5;168.9;65;51.6;2756;194;3.74
25;17;5900;207;9.5;2.9;89.5;168.9;65;51.6;2800;194;3.74
28;17;5750;288;10;3.11;98.4;175.7;72.3;50.5;3366;203;3.94
31;23;5100;90;8.7;3.9;96.1;181.5;66.5;55.2;2579;132;3.46
31;23;5100;90;8.7;3.9;96.1;176.8;66.6;50.5;2460;132;3.46
28;21;5250;110;9.31;3.07;99.1;186.6;66.5;56.1;2658;121;3.54
28;21;5250;110;9.3;3.07;99.1;186.6;66.5;56.1;2695;121;3.54
28;21;5250;110;9.3;2.07;99.1;186.6;66.5;56.1;2707;121;2.54
28;21;5250;110;9.3;3.07;99.1;186.6;66.5;56.1;2758;121;3.54
26;19;5500;160;9;3.07;99.1;186.6;66.5;56.1;2808;121;3.54
26;19;5500;160;9;3.07;99.1;186.6;66.5;56.1;2847;121;3.54
36;31;4900;69;9;2.36;93.7;156.9;63.4;53.7;2050;97;3.62
31;26;4400;73;8.7;2.64;93.7;157.9;63.6;53.7;2120;108;3.62
31;26;4400;73;8.7;2.64;93.3;157.3;63.8;55.7;2240;108;3.62
37;32;4800;82;9.5;2.64;97.2;172;65.4;52.5;2145;108;3.62
33;28;4400;82;9.5;2.64;97.2;172;65.4;52.5;2190;108;3.62
32;26;5200;94;9;2.64;97.2;172;65.4;52.5;2340;108;3.62
25;24;4800;82;9;2.64;97;172;65.4;54.3;2385;108;3.62
29;24;4800;111;7.7;2.64;97;172;65.4;54.3;2510;108;3.62
32;28;4800;82;9;2.64;97;173.5;65.4;53;2290;108;3.62
31;25;5200;94;9;2.64;97;173.5;65.4;53;2455;108;3.62
29;23;4800;82;9;2.64;96.9;173.6;65.4;54.9;2420;108;3.62
23;23;4800;111;7.7;2.64;96.9;173.6;65.4;54.9;2650;108;3.62
39;35;4800;62;9;3.03;95.7;158.7;63.6;54.5;1985;92;3.05
38;31;4800;62;9;3.03;95.7;158.7;63.6;54.5;2040;92;3.05
38;31;4800;62;9;3.03;95.7;158.7;63.6;54.5;2015;92;3.05
37;31;4800;62;9;3.03;95.7;169.7;63.6;59.1;2280;92;3.05
32;27;4800;62;9;3.03;95.7;169.7;63.6;59.1;2290;92;3.05
32;27;4800;62;9;3.03;95.7;169.7;63.6;59.1;3110;92;3.05
37;30;4800;70;9;3.03;95.7;166.3;64.4;53;2081;98;3.19
37;30;4800;70;9;3.03;95.7;166.3;64.4;52.8;2109;98;3.19
36;34;4500;56;22.5;3.35;95.7;166.3;64.4;53;2275;110;3.27
47;38;4500;56;22.5;3.35;95.7;166.3;64.4;52.8;2275;110;3.27
47;38;4800;70;9;3.03;95.7;166.3;64.4;53;2094;98;3.19
34;28;4800;70;9;3.03;95.7;166.3;64.4;52.8;2122;98;3.19
34;28;4800;70;9;3.03;95.7;166.3;64.4;52.8;2140;98;3.19
34;29;4800;70;9;3.03;94.5;168.7;64;52.6;2169;98;3.19
34;29;4800;70;9;3.03;94.5;168.7;64;52.6;2204;98;3.19
29;26;6600;112;9.4;3.08;94.5;168.7;64;52.6;2265;98;3.24
29;26;6600;112;9.4;3.08;94.5;168.7;64;52.6;2300;98;3.24
30;24;4800;116;9.3;3.5;98.4;176.2;65.6;52;2540;146;3.62
30;24;4800;116;9.3;3.5;98.4;176.2;65.6;52;2536;146;3.62
30;24;4800;116;9.3;3.5;98.4;176.2;65.6;52;2551;146;3.62
30;24;4800;116;9.3;3.5;98.4;176.2;65.6;52;2679;146;3.62
30;24;4800;116;9.3;3.5;98.4;176.2;65.6;52;2714;146;3.62
30;24;4800;116;9.3;3.5;98.4;176.2;65.6;53;2975;146;3.62
34;29;4200;92;8.7;3.54;102.4;175.6;66.5;54.9;2326;122;3.31
33;30;4500;73;22.5;3.35;102.4;175.6;66.5;54.9;2480;110;3.27
32;27;4200;92;8.7;3.54;102.4;175.6;66.5;53.9;2414;122;3.31
32;27;4200;92;8.7;3.54;102.4;175.6;66.5;54.9;2414;122;3.31
32;27;4200;92;8.7;3.54;102.4;175.6;66.5;53.9;2458;122;3.31
24;20;5200;161;9.3;3.35;102.9;183.5;67.7;52;2976;171;3.27
24;19;5200;161;9.3;3.35;102.9;183.5;67.7;52;3016;171;3.27
24;20;5200;156;9.2;3.35;104.5;187.8;66.5;54.1;3131;171;3.27
24;19;5200;156;9.2;3.35;104.5;187.8;66.5;54.1;3151;161;3.27
46;37;4800;52;23;3.4;97.3;171.7;65.5;55.7;2261;97;3.01
34;27;5250;85;9;3.4;97.3;171.7;65.5;55.7;2209;109;3.19
46;37;4800;52;23;3.4;97.3;171.7;65.5;55.7;2264;97;3.01
34;27;5250;85;9;3.4;97.3;171.7;65.5;55.7;2212;109;3.19
34;27;5250;85;9;3.4;97.3;171.7;65.5;55.7;2275;109;3.19
42;37;4500;68;23;3.4;97.3;171.7;65.5;55.7;2319;97;3.01
32;26;5500;100;10;3.4;97.3;171.7;65.5;55.7;2300;109;3.19
29;24;5500;90;8.5;3.4;94.5;159.3;64.2;55.6;2254;109;3.19
29;24;5500;90;8.5;3.4;94.5;165.7;64;51.4;2221;109;3.19
24;19;5500;110;8.5;3.4;100.4;180.2;66.9;55.1;2661;136;3.19
38;33;4500;68;23;3.4;100.4;180.2;66.9;55.1;2579;97;3.01
31;25;5500;88;9;3.4;100.4;183.1;66.9;55.1;2563;109;3.19
28;23;5400;114;9.5;3.15;104.3;188.8;67.2;56.2;2912;141;3.78
28;23;5400;114;9.5;3.15;104.3;188.8;67.2;57.5;3034;141;3.78
28;24;5400;114;9.5;3.15;104.3;188.8;67.2;56.2;2935;141;3.78
28;24;5400;114;9.5;3.15;104.3;188.8;67.2;57.5;3042;141;3.78
22;17;5100;162;7.5;3.15;104.3;188.8;67.2;56.2;3045;130;3.62
22;17;5100;162;7.5;3.15;104.3;188.8;67.2;57.5;3157;130;3.62
28;23;5400;114;9.5;3.15;109.1;188.8;68.9;55.5;2952;141;3.78
25;19;5300;160;8.7;3.15;109.1;188.8;68.8;55.5;3049;141;3.78
23;18;5500;134;8.8;2.87;109.1;188.8;68.9;55.5;3012;173;3.58
27;26;4800;106;23;3.4;109.1;188.8;68.9;55.5;3217;145;3.01
25;19;5400;114;9.5;3.15;109.1;188.8;68.9;55.5;3062;141;3.78
